Model,Type,F1 Score,Accuracy,Precision,Recall,AUC-ROC,Error Rate
phase1_epoch_001,phase1,0.9968304278922345,0.9953623188405797,0.9936808846761453,1.0,0.9999812761495592,0.00463768115942029
phase1_epoch_002,phase1,0.99249901302803,0.9889855072463768,0.9858823529411764,0.9992050874403816,0.9997463769349397,0.011014492753623189
phase1_epoch_003,phase1,0.9912974683544303,0.9872463768115942,0.9866141732283464,0.9960254372019078,0.9995761601127515,0.012753623188405797
phase1_epoch_004,phase1,0.9921011058451816,0.9884057971014493,0.9858712715855573,0.9984101748807631,0.9995693514398641,0.011594202898550725
phase1_epoch_005,phase1,0.992487149070779,0.9889855072463768,0.987411487018096,0.9976152623211447,0.9995744579445298,0.011014492753623189
phase1_epoch_006,phase1,0.9920886075949367,0.9884057971014493,0.9874015748031496,0.9968203497615262,0.9993225370476914,0.011594202898550725
phase1_epoch_007,phase1,0.9909126827340972,0.9866666666666667,0.9850746268656716,0.9968203497615262,0.9995233928978733,0.013333333333333334
phase1_best,phase1,0.9909126827340972,0.9866666666666667,0.9850746268656716,0.9968203497615262,0.9995233928978733,0.013333333333333334
phase2_epoch_001,phase2,0.7866568914956011,0.662608695652174,0.7299319727891157,0.8529411764705882,0.4816948829418914,0.3373913043478261
phase2_epoch_002,phase2,0.8123011664899258,0.6921739130434783,0.7313812858052197,0.9133545310015898,0.5055167272071164,0.30782608695652175
phase2_epoch_003,phase2,0.8257261410788381,0.7078260869565217,0.7307221542227662,0.9491255961844197,0.5255206081506623,0.2921739130434783
phase2_epoch_004,phase2,0.8335042735042735,0.7176811594202899,0.73125374925015,0.9689984101748808,0.5428078286120861,0.28231884057971013
phase2_epoch_005,phase2,0.834977883633889,0.7188405797101449,0.7299226650803093,0.9753577106518283,0.555528131734203,0.2811594202898551
phase2_epoch_006,phase2,0.8389715832205683,0.7240579710144928,0.7302709069493521,0.985691573926868,0.5675573545582362,0.27594202898550724
phase2_epoch_007,phase2,0.8391891891891892,0.7240579710144928,0.7297297297297297,0.9872813990461049,0.5769158754421382,0.27594202898550724
phase2_epoch_008,phase2,0.8399729912221472,0.7252173913043478,0.7300469483568075,0.9888712241653418,0.5853705450002213,0.2747826086956522
phase2_epoch_009,phase2,0.8407557354925776,0.7263768115942029,0.7303634232121923,0.9904610492845787,0.5928464678307228,0.2736231884057971
phase2_epoch_010,phase2,0.8412537917087968,0.7269565217391304,0.7302516091281451,0.9920508744038156,0.5990355514854822,0.27304347826086955
phase2_epoch_011,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.604547172187933,0.27246376811594203
phase2_epoch_012,phase2,0.8424242424242424,0.7286956521739131,0.7307242990654206,0.994435612082671,0.6095140990593818,0.271304347826087
phase2_epoch_013,phase2,0.8424242424242424,0.7286956521739131,0.7307242990654206,0.994435612082671,0.6136707938572152,0.271304347826087
phase2_epoch_014,phase2,0.8424242424242424,0.7286956521739131,0.7307242990654206,0.994435612082671,0.6174325856275724,0.271304347826087
phase2_epoch_015,phase2,0.8420343550016841,0.7281159420289856,0.7305669199298656,0.9936406995230525,0.6204641472307425,0.2718840579710145
phase2_epoch_016,phase2,0.8420343550016841,0.7281159420289856,0.7305669199298656,0.9936406995230525,0.6230871884606612,0.2718840579710145
phase2_epoch_017,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6250208515607181,0.27246376811594203
phase2_epoch_018,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6269017474458966,0.27246376811594203
phase2_epoch_019,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6283622077802705,0.27246376811594203
phase2_epoch_020,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6294124455731711,0.27246376811594203
phase2_epoch_021,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6302379971607834,0.27246376811594203
phase2_epoch_022,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6312422764116932,0.27246376811594203
phase2_epoch_023,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6318482482986829,0.27246376811594203
phase2_epoch_024,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6323588987652472,0.27246376811594203
phase2_epoch_025,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6328065690076019,0.27246376811594203
phase2_epoch_026,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.633033808465223,0.27246376811594203
phase2_epoch_027,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6331538113248656,0.27246376811594203
phase2_epoch_028,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6332525370817347,0.27246376811594203
phase2_epoch_029,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6332729631003973,0.27246376811594203
phase2_epoch_030,phase2,0.8417508417508418,0.7275362318840579,0.7301401869158879,0.9936406995230525,0.6332814739415067,0.27246376811594203
